Component,Description,Part,References,Value,Footprint,PartNumber,Quantity Per PCB,Spec,Tolerance,Voltage,Sim.Device,Sim.Pins,Name,mpn,Power
51,Potentiometer,R_Potentiometer,RV2 RV3 RV4 RV5 RV6 RV7 RV8 RV9 RV10 RV11 RV12 RV13 RV14 RV15 RV16 RV17 RV18 RV19 RV20 RV21,100kB,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,,20,,,,,,Delay Wet Stability Feedback Level Delay Feedback Stability Noise Level Delay Clock Stability Feedback Level Delay Wet Level Delay Dry Level Fixed Stability Voltage VCA Level CV Attenuverter Delay Input Level Division CV Mix Level 3 Filter Resonance CV Attenuverter Filter Frequency CV Attenuverter,,
52,Trim-potentiometer,R_Potentiometer_Trim,RV1,200kB,Potentiometer_THT_Bourns_3306P_Vertical,,1,single turn,,,,,,,
53,Binary counter 14 stages (asynchronous),4020,U3,4020,DIP-16_W7.62mm_Socket,,1,,,,,,,,
54,"Octal Buffer and Line Driver With 3-State Output, complementary enables, non-inverting outputs",74LS241,U14,74LS241,DIP-20_W7.62mm_Socket,,1,,,,,,,,
55,"20MHz, 2kB Flash, 128B SRAM, 128B EEPROM, debugWIRE, DIP-14",ATtiny24A-P,U11,ATtiny24A-P,DIP-14_W7.62mm,,1,,,,,,,,
56,"Positive 100mA 30V Linear Regulator, Fixed Output 5V, TO-92",L78L05_TO92,U8,L78L05_TO92,TO-92_Inline_Wide,,1,,,,,,,,
57,"Dual Operational Transconductance Amplifiers with Linearizing Diodes and Buffers, DIP-16/SOIC-16",LM13700,U12 U13,LM13700,DIP-16_W7.62mm_Socket,,2,,,,,,,,
58,Echo Processor IC,PT2399,U6,PT2399,DIP-16_W7.62mm_Socket,,1,,,,,,,,
59,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U2 U4 U9 U15,TL072,DIP-8_W7.62mm_Socket,,4,,,,,,,,
60,"Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14",TL074,U1 U5 U7 U10 U16,TL074,DIP-14_W7.62mm_Socket,,5,,,,,,,,
